step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,5.871254867594355e-15,-6504.893632959707,-15.487841983237399,-46.46352594971219,136.0,218.0,354.0,268.0,86.0,1.5523809523809524,0.5119047619047619,0.6265060240963856,0.7092261904761905,2.8901263072117342,1.9009918970705793,2.0025962065964698,2.9089094535072593,242.0,170.0,random_bulk,1,-0.1375225418819197,-0.08106737734348357,0.0,-0.08106737734348357,0.2,0,1,11,0.008429759311841159,0.9387244967508724,102034138168499.19,64,64,0,0.35,3600.0,3.0,1
1,2.1903997452482013e-14,,,,,,,,,,,,,,,,,,,random_surface,1,0.021183700666533474,-0.39230035824683895,0.0,-0.39230035824683895,0.2,0,0,13,0.021869716284088365,0.7387333167139173,108495836662279.19,64,64,0,0.35,3600.0,3.0,1
2,2.3392467255938334e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.15317748920861984,0.18892432275367455,0.0,0.18892432275367455,0.2,0,0,13,0.002126372795848805,0.023747047224623386,104559586146722.73,64,64,0,0.35,3600.0,3.0,1
3,2.553146692452806e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.04499732110721944,0.08899436887423384,0.0,0.08899436887423384,0.2,0,0,13,0.01932709795016956,0.43192577637855484,105003734642771.84,64,64,0,0.35,3600.0,3.0,1
4,2.5925048499561294e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.027208613677432526,-0.020580181794098706,0.0,-0.020580181794098706,0.2,0,0,13,0.02283526992910523,0.5831634557050787,108159546487776.25,64,64,0,0.35,3600.0,3.0,1
5,2.734195778988682e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.08488595794317558,-0.1288826264106646,0.0,-0.1288826264106646,0.2,0,0,12,0.007724192875999854,0.8952021099939886,85127980234103.31,64,64,0,0.35,3600.0,3.0,1
6,3.171451400403754e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.11758209814117992,-0.11436360064075046,0.0,-0.11436360064075046,0.2,0,1,11,0.0033049343077412516,0.9693268783240696,97597361970400.94,64,64,0,0.35,3600.0,3.0,1
7,3.1771231644764934e-14,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,-0.0031729108341972904,0.3917643936876516,0.0,0.3917643936876516,0.2,0,0,13,0.02834794423075119,0.4182522952781964,106732898754763.81,64,64,0,0.35,3600.0,3.0,1
8,3.360330989009095e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.07567256128462607,-0.07489964504511093,0.0,-0.07489964504511093,0.2,0,0,13,0.022301559574559086,0.5603059263480749,112783531208165.12,64,64,0,0.35,3600.0,3.0,1
9,4.150444546173101e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.02580668394834385,0.13248263680590777,0.0,0.13248263680590777,0.2,0,0,12,0.0037401374807211236,0.49616041869613964,100167101063803.06,64,64,0,0.35,3600.0,3.0,1
10,7.195520028460752e-14,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.05666530348857502,-0.02293970155580638,0.0,-0.02293970155580638,0.2,0,0,13,0.006724732005752375,0.57920895729867,100826716883951.5,64,64,0,0.35,3600.0,3.0,1
11,7.771453185441043e-14,,,,,,,,,,,,,,,,,,,random_surface,1,0.012138778009278593,0.040636074335619554,0.0,0.040636074335619554,0.2,0,0,13,0.01278530139258689,0.5773476040944181,97573437732961.19,64,64,0,0.35,3600.0,3.0,1
12,9.013909888388707e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.23612051182940685,-0.598525871038035,0.0,-0.598525871038035,0.2,0,1,12,0.023431777640810406,0.9943777203032396,109250961551763.9,64,64,0,0.35,3600.0,3.0,1
